City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
799,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
811,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
812,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
824,Leh,IN,65.48,34.1667,77.5833,Hotel Ladakh Greens
835,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
836,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
842,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
844,Am Timan,TD,71.85,11.0297,20.2827,Palais du chef Canton Salamt
846,Mokhsogollokh,RU,72.95,61.4681,128.9203,
847,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
852,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
853,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
854,Beira,MZ,66.6,-19.8436,34.8389,Beira Terrace Hotel
855,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
858,Keningau,MY,71.73,5.3378,116.1602,Sabindo Hotel
860,Torbay,CA,70.57,47.6666,-52.7314,Gallows Cove
861,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
864,Potsdam,DE,71.06,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
865,Saint-Francois,FR,62.42,46.4154,3.9054,Manoir Du Bonheur
866,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
869,Magdagachi,RU,70.2,53.45,125.8,Motopolyana Magdagachi
875,Beidao,CN,69.76,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
876,East London,ZA,70.48,-33.0153,27.9116,Tu Casa
878,Dauphin,CA,66.34,51.1494,-100.0502,Canway Inn & Suites
889,Mandalgovi,MN,65.07,45.7625,106.2708,В.Ганбат
891,Asau,RO,72.95,46.4333,26.4,Casa Mika Ciobanus
895,Vendome,FR,66.49,47.8,1.0667,Hotel Mercator
904,Ilhabela,BR,70.0,-23.7781,-45.3581,Ilha Flat Hotel
914,Port Elizabeth,ZA,62.89,-33.918,25.5701,39 On Nile Guest House
915,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
926,Zemio,CF,68.76,5.0314,25.1361,OCHA Office
943,Port Elizabeth,ZA,62.89,-33.918,25.5701,39 On Nile Guest House
947,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
949,Zyryanka,RU,63.1,65.75,150.85,
950,Lucapa,AO,65.1,-8.4192,20.7447,Lírio Mendes
953,Vao,NC,73.0,-22.6667,167.4833,Hotel Kou-Bugny
956,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
960,Thunder Bay,CA,71.58,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
962,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
965,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
968,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
973,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
979,Pacifica,US,71.49,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
980,Santa Maria,BR,65.5,-29.6842,-53.8069,Hotel Morotin
981,Saint-Pierre,RE,67.91,-21.3393,55.4781,Alize Plage
982,Pacifica,US,71.49,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
988,Skibotn,NO,70.12,69.3913,20.2679,Olderelv Camping
989,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
992,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
993,Paraiso,CR,68.86,9.8383,-83.8656,Hotel Rinconcito Verde
995,Torbay,CA,70.57,47.6666,-52.7314,Gallows Cove
997,Sao Joao Da Barra,BR,72.1,-21.6403,-41.0511,Pousada Porto De Canoas
1008,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
1011,Alyangula,AU,69.78,-13.8483,136.4192,Groote Eylandt Lodge
1017,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
1018,Suntar,RU,73.27,62.1444,117.6319,Гостевая квартира
1031,Porto Torres,IT,73.58,40.835,8.3972,Hotel Elisa
